commune;insee;total_personne_entrante;total_personne_partante;Balance;;km_parcourut_entrant;km_parcourut_partant;Balance_des_km_parcourut;total_emissionCO2_km_entrant;CO2_km;emissionCO2_km_sortant;emissionCO2_km_balance_km_total;total_des_revenus_medians_des_communes_entrantes;total_des_revenus_medians_des_communes_entrantes;balance_des_revenus_medians;km_moyen_par_les_partants;km_moyen_par_les_entrants;Balance_deskm_parEnt_Sor;emissionCO2_km_total_km_partant;emissionCO2_km_total_km_entrant;emissionCO2_km_balance;Minute_emi_par_km;total_min_emi;total_min_immi;total_balance_min;taux_emploi;emplois;habitants;menages;pers_par_menages;unite_conso_menages;revenu_median;Nombre_actifs_2015;inter_voiture;extra_voiture;extra_sansvoiture;avec voiture ;sansvoiture;Inter_voiture_ternary;extra_voiture_ternary;sansvoiture_ternary;2015_extra_csp1;2015_extra_csp2;2015_extra_csp3;cadre_extra_ternary;inter_extra_ternary;ouvrier_extra_ternary;2015_inter_csp1;2015_inter_csp2;2015_inter_csp3;cadre_intra_ternary;inter_intra_ternary;ouvrier_intra_ternary;INTRA_CADRE;OUVRIER_INTRA
TOULOUSE;31555;130873;44465;86408;;8566;3064;5502;;#DIV/0!;413640;742770;5461931;1337886;-4124045;14.51207572;15.27819286;0.766117137;1959.130222;2062.556035;103.4258136;2.601747495;39.75;35.10504202;4.644957983;43.88940954;71878;466297;204266;401677;290305;20271;204655;69336;38106;97213;52.49908382;47.50091618;33.87945567;18.61962815;47.50091618;20321;16328;16914;37.93850232;30.48372944;31.57776824;51782;44418;54886;34.2731954;29.39915015;36.32765445;FAUX;FAUX
MONTPELLIER;34172;62513;18853;43660;;3602;1283;2319;486270;;173205;313065;2482341;709956;-1772385;14.6944661;17.35508051;2.660614416;1983.752923;2342.935869;359.1829461;1.937640506;33.62790698;36.10833333;-2.480426357;36.82541643;38976;275318;114765;235797;167124;17316;101387;36679;17557;47151;53.4940377;46.5059623;36.17722193;17.31681577;46.5059623;7215;7870;9826;28.96310867;31.59246919;39.44442214;235797;24020;30408;81.24627444;8.276337324;10.47738823;CADRE_EN_MASSE;OUVRIER_EN_MASSE
PERPIGNAN;66136;34912;5809;29103;;1590;656;934;214650;;88560;126090;1458745;379632;-1079113;8.855182927;21.9572327;13.10204978;1195.449695;2964.226415;1768.77672;1.178865103;25.88461538;24.0875;1.797115385;28.54276357;20249;120605;54451;110779;78977;15818;34424;17622;7186;9616;72.06600046;27.93399954;51.19102951;20.87497095;27.93399954;1771;2756;4007;20.75228498;32.294352;46.95336302;110779;7384;13481;84.15043602;5.609066877;10.2404971;CADRE_EN_MASSE;OUVRIER_EN_MASSE
NIMES;30189;28622;5228;23394;;2024;564;1461;273240;;76140;197235;1612993;332520;-1280473;9.269503546;14.14130435;4.871800802;1251.382979;1909.076087;657.6931082;2.346446789;33.18181818;30.51190476;2.66991342;32.25285454;22719;151075;64885;139707;97372;16626;48726;24750;6404;17571;63.93842996;36.06157004;50.79527963;13.14315033;36.06157004;2627;3137;4135;26.53803414;31.6900697;41.77189615;139707;11694;19782;81.61266014;6.831285817;11.55605405;CADRE_EN_MASSE;OUVRIER_EN_MASSE
BLAGNAC;31069;23963;5091;18872;;1077;88;989;145395;;11880;133515;1202630;162092;-1040538;57.85227273;22.24976787;-35.60250485;7810.056818;3003.718663;-4806.338155;0.594263378;13.22222222;22.38888889;-9.166666667;48.26614281;6700;23416;10393;22325;15626;23156;11302;2911;4903;3488;69.13820563;30.86179437;25.75650327;43.38170235;30.86179437;2086;2186;2150;32.48209281;34.03924011;33.47866708;22325;1436;1908;86.97261288;5.594296622;7.433090498;CADRE_EN_MASSE;OUVRIER_EN_MASSE
BEZIERS;34032;15521;2686;12835;;934;244;690;126090;;32940;93150;912213;168498;-743715;11.00819672;16.61777302;5.609576298;1486.106557;2243.399358;757.2928002;1.309996878;21.76923077;22.76470588;-0.995475113;29.55178928;11336;75701;35067;75168;52434;15318;22371;12453;4251;5667;74.66809709;25.33190291;55.66581735;19.00227974;25.33190291;924;1623;2756;17.42409957;30.60531774;51.97058269;75168;4686;9725;83.91252414;5.231136762;10.8563391;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MONTAUBAN;82121;12764;2820;9944;;901;330;571;121635;;44550;77085;920946;228408;-692538;8.545454545;14.16648169;5.621027142;1153.636364;1912.475028;758.8386641;1.739518512;24.64285714;22.57142857;2.071428571;37.76221399;10693;58826;27192;60631;41844;19034;22214;12688;4394;5132;76.89745206;23.10254794;57.11713334;19.78031872;23.10254794;1303;1787;2381;23.81648693;32.66313288;43.52038019;60631;5054;8731;81.4757579;6.791550204;11.73269189;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ALBI;81004;11985;2415;9570;;783;238;545;105705;;32130;73575;835274;215083;-620191;10.14705882;15.30651341;5.159454586;1369.852941;2066.37931;696.5263692;1.447347646;22.15384615;22.8372093;-0.683363148;33.59916012;8856;49531;22674;45346;32754;19553;16642;8016;3934;4693;71.80195878;28.19804122;48.16439344;23.63756534;28.19804122;1040;1549;2030;22.51569604;33.53539727;43.94890669;45346;4150;5372;82.64562222;7.563607203;9.790770577;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CARCASSONNE;11069;10252;1175;9077;;799;336;463;107865;;45360;62505;805005;137248;-667757;3.49702381;12.8310388;9.334014989;472.0982143;1732.190238;1260.092024;2.244557159;28.8;21.6;7.2;33.12727194;9354;45941;21540;45556;32079;17156;15219;9386;2139;3693;75.73268498;24.26731502;61.67696149;14.05572349;24.26731502;550;875;1185;21.07279693;33.52490421;45.40229885;45556;3727;6753;81.29773717;6.651081448;12.05118138;CADRE_EN_MASSE;OUVRIER_EN_MASSE
TARBES;65440;10647;2753;7894;;559;263;296;75465;;35505;39960;774092;256470;-517622;10.46768061;19.04651163;8.57883102;1413.136882;2571.27907;1158.142188;1.090210443;20.76470588;19.84615385;0.918552036;31.26894866;7597;40900;21780;39876;29674;17098;12789;5210;3370;4209;67.08890453;32.91109547;40.73813433;26.35077019;32.91109547;718;1255;2539;15.91312057;27.81471631;56.27216312;39876;2366;4439;85.42233457;5.068443264;9.509222167;CADRE_EN_MASSE;OUVRIER_EN_MASSE
RODEZ;12202;9480;1685;7795;;555;56;499;74925;;7560;67365;659291;100170;-559121;30.08928571;17.08108108;-13.00820463;4062.053571;2305.945946;-1756.107625;0.602169982;10.28571429;19.96969697;-9.683982684;41.04118233;6303;24088;11597;21693;16064;20034;9886;3875;2757;3255;67.07798119;32.92201881;39.19287954;27.88510165;32.92201881;524;974;1597;16.93053312;31.47011309;51.5993538;21693;2138;3272;80.03911006;7.888425636;12.0724643;CADRE_EN_MASSE;OUVRIER_EN_MASSE
NARBONNE;11262;9536;2159;7377;;865;389;476;116775;;52515;64260;631915;173570;-458345;5.550128535;11.02427746;5.474148922;749.2673522;1488.277457;739.0101045;2.75906215;30.41666667;28.21621622;2.20045045;33.60136222;8815;52855;25013;50859;36444;17357;17760;10154;3119;4487;74.73536036;25.26463964;57.17342342;17.56193694;25.26463964;731;1258;1745;19.57686127;33.69041243;46.7327263;50859;4420;7059;81.58587058;7.09037826;11.32375116;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ALES;30007;8719;1840;6879;;405;202;202;54675;;27270;27270;545533;143046;-402487;9.108910891;21.52839506;12.41948417;1229.70297;2906.333333;1676.630363;0.971233148;20.90909091;19.71875;1.190340909;28.3074538;6385;39993;19602;39059;28197;15894;11321;5893;3016;2411;78.70141343;21.29858657;52.05830389;26.64310954;21.29858657;524;1132;1921;14.64914733;31.64663126;53.70422141;39059;2340;4242;85.57875594;5.126969172;9.294274884;CADRE_EN_MASSE;OUVRIER_EN_MASSE
AVIGNON;84007;7581;965;6616;;434;154;280;58590;;20790;37800;367047;95322;-271725;6.266233766;17.46774194;11.20150817;845.9415584;2358.145161;1512.203603;1.695983379;29.625;33.4;-3.775;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
COLOMIERS;31149;15441;8958;6483;;617;158;459;83295;;21330;61965;819499;216940;-602559;56.69620253;25.02593193;-31.6702706;7653.987342;3378.50081;-4275.486531;0.616027675;15.41666667;19.81081081;-4.394144144;45.21159285;6448;38541;15849;36785;24926;21694;17425;4652;9035;3739;78.54355561;21.45644439;26.69574199;51.84781361;21.45644439;3299;3247;4283;30.46449349;29.98430141;39.5512051;36785;1881;3348;87.55414862;4.477079069;7.968772314;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LABEGE;31254;6547;551;5996;;234;20;213;31590;;2700;28755;382514;23789;-358725;27.55;27.97863248;0.428632479;3719.25;3777.115385;57.86538462;0.321674049;9;18.11111111;-9.111111111;36.49513872;5630;4217;1465;3436;2335;23789;1539;336;829;374;75.69850552;24.30149448;21.83235867;53.86614685;24.30149448;328;299;400;31.93768257;29.11392405;38.94839338;3436;118;260;90.08914525;3.093864709;6.816990037;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CASTRES;81065;7687;1881;5806;;713;300;413;96255;;40500;55755;646986;168678;-478308;6.27;10.78120617;4.511206171;846.45;1455.462833;609.0128331;2.689866008;29;23.02857143;5.971428571;35.04905514;6200;41382;18832;40809;28566;18742;14504;8066;3318;3119;78.49410467;21.50589533;55.61607943;22.87802524;21.50589533;737;1173;1982;18.93627955;30.13874615;50.92497431;40809;3132;5554;82.4507526;6.32791191;11.22133549;CADRE_EN_MASSE;OUVRIER_EN_MASSE
AUCH;32013;4799;637;4162;;584;227;357;78840;;30645;48195;588074;97235;-490839;2.806167401;8.217465753;5.411298353;378.8325991;1109.357877;730.5252776;3.75506802;30.85714286;21.8;9.057142857;37.18989315;5362;21807;10728;21054;15333;19447;8110;4704;1547;1859;77.07768187;22.92231813;58.00246609;19.07521578;22.92231813;311;642;844;17.30662215;35.72621035;46.9671675;21054;2120;3024;80.36491335;8.09222078;11.54286587;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CAHORS;46042;4264;231;4033;;471;19;453;63585;;2565;61155;493753;38722;-455031;12.15789474;9.053078556;-3.104816181;1641.315789;1222.165605;-419.1501844;0.828447467;7.5;21.84615385;-14.34615385;35.09933775;4819;19630;9791;19290;14041;19361;6890;3567;1078;2246;67.40676244;32.59323756;51.76316935;15.64359309;32.59323756;278;376;682;20.80838323;28.14371257;51.04790419;19290;1729;2764;81.10835471;7.269898667;11.62174663;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SETE;34301;4875;2724;2151;;259;225;34;34965;;30375;4590;229588;153378;-76210;12.10666667;18.82239382;6.715727156;1634.4;2541.023166;906.623166;1.555207459;29.27272727;26.57142857;2.701298701;28.82680805;5065;44136;21930;43646;31558;17042;12723;5136;2872;4715;62.94113024;37.05886976;40.36783777;22.57329246;37.05886976;887;1114;2009;22.11970075;27.78054863;50.09975062;43646;2455;4718;85.88520042;4.830870344;9.283929239;CADRE_EN_MASSE;OUVRIER_EN_MASSE
